eq_id,eq_nome,eq_enderec,eq_bairro,eq_tipo,longitude,latitude,eq_distr,eq_regiao,eq_ender,eq_esfera,alunos_ef,alunos_em,alunos_total
4878,JOAO AMOS COMENIUS EMEF,RUA IBIRAIARAS 400,JARDIM VISTA ALEGRE,EMEF,-46.6876656674,-23.4502173008,BRASILANDIA,Norte,#REF!,MUNICIPAL,1048,0,1294
4885,JAIR TOLEDO XAVIER PROFESSOR,R JOAQUIM DE ALMEIDA MORAIS SN,BRASILANDIA,EE,-46.688044,-23.473239,BRASILANDIA,Norte,#REF!,ESTADUAL - SE,627,1031,1938
4892,CARLOS DE MORAES ANDRADE PROF,AV DONA BELMIRA MARIN 2440,PARQUE BRASIL,EE,-46.688314,-23.749817,GRAJAU,Sul,#REF!,ESTADUAL - SE,501,593,1222
4907,CARLOS MAXIMILIANO PEREIRA DOS SANTOS,R JERICO 256,SUMAREZINHO,EE,-46.688719,-23.550648,PINHEIROS,Oeste,#REF!,ESTADUAL - SE,383,0,384
4911,FERNAO DIAS PAES,AV PEDROSO DE MORAIS 420,,EE,-46.689209,-23.565639,PINHEIROS,Oeste,#REF!,ESTADUAL - SE,242,1279,1521
4922,ITIRO MUTO,R PAULO ARAUJO NOVAES 190,PARQUE AMERICA,EE,-46.689601,-23.727752,GRAJAU,Sul,#REF!,ESTADUAL - SE,1059,0,1067
4923,JARDIM GUARANI EMEF,RUA SANTANA DO ARACUAI 190,JARDIM GUARANI,EMEF,-46.6896350026,-23.4619226096,BRASILANDIA,Norte,#REF!,MUNICIPAL,1005,0,1807
4924,PAULO SETUBAL EMEF,RUA FRANCISCO DE CALDAS 50,JARDIM ANA LUCIA,EMEF,-46.689664,-23.715989,CIDADE DUTRA,Sul,#REF!,MUNICIPAL,670,0,1190
4927,JARDIM SABIA II,AV PAULO GUILGUER REIMBERG 3680,JARDIM NOVO HORIZONTE,EE,-46.689723,-23.78295,GRAJAU,Sul,#REF!,ESTADUAL - SE,1022,0,1164
4932,GERALDO SESSO JUNIOR EMEF,RUA JOSE SIQUEIRA BRITO 123,,EMEF,-46.689912,-23.468214,BRASILANDIA,Norte,#REF!,MUNICIPAL,993,0,1603
4933,ARGEO PINTO DIAS ENG,R FALCAO PEREGRINO 22,JARDIM SABIA,EE,-46.68992,-23.782681,GRAJAU,Sul,#REF!,ESTADUAL - SE,836,754,1670
4937,RENE MUAWAD PRESIDENTE,R ESTELA NAVES JUNQUEIRA 79,PARQUE AMERICA,EE,-46.690056,-23.734847,GRAJAU,Sul,#REF!,ESTADUAL - SE,749,0,749
4941,RAUL FERNANDES EMBAIXADOR EMEF,RUA NAIR RAMOS SCHURING 2515,VILA BRASILANDIA,EMEF,-46.690199,-23.468443,BRASILANDIA,Norte,#REF!,MUNICIPAL,695,0,931
4942,GERSON DE MOURA MUZEL PROFESSOR,AV CARLOS ALBERTO BASTOS MACHADO SN,JARDIM ALMEIDA PRADO,EE,-46.69024,-23.775888,GRAJAU,Sul,#REF!,ESTADUAL - SE,697,0,841
4944,JACOB THOMAZ ITAPURA DE MIRANDA PROF,R ANTONIO FELIPE FILHO 93,JARDIM SOMARA,EE,-46.6903664484,-23.7486792168,GRAJAU,Sul,#REF!,ESTADUAL - SE,684,0,684
4958,TEODOMIRO TOLEDO PIZA DESEMBARGADOR EMEF,RUA PELAGIA STARBULOV 324,PARQUE GRAJAU,EMEF,-46.690811,-23.744394,GRAJAU,Sul,#REF!,MUNICIPAL,853,0,1508
4967,MARINA MELANDER COUTINHO PROFA EMEF,RUA RUBENS MONTANARO BORBA 862,JARDIM REGIS,EMEF,-46.691038,-23.71318,CIDADE DUTRA,Sul,#REF!,MUNICIPAL,618,0,1245
4969,PLINIO AYROSA EMEF,RUA TOMAS RAMOS JORDAO 259,PARQUE MONTEIRO SOARES,EMEF,-46.691189,-23.489104,FREGUESIA DO O,Norte,#REF!,MUNICIPAL,718,0,1045
4977,CACILDA BECKER,RUA CAPITAO JOSE AMARAL 44,,EE,-46.691555,-23.479598,FREGUESIA DO O,Norte,#REF!,ESTADUAL - SE,786,0,786
4978,JOAQUIM LUIZ DE BRITO PROFESSOR,RUA SANTA LUCIA FILIPPINI 65,,EE,-46.691775,-23.487194,FREGUESIA DO O,Norte,#REF!,ESTADUAL - SE,164,787,1319
4989,LAERTE RAMOS CARVALHO PROF EMEF,RUA BEIJUI 296,,EMEF,-46.692241,-23.667785,CAMPO GRANDE,Sul,#REF!,MUNICIPAL,635,0,1038
4994,JOSE DIAS DA SILVEIRA DR EMEF,RUA ROQUE PETRELLA 1054,,EMEF,-46.692419,-23.616038,ITAIM BIBI,Oeste,#REF!,MUNICIPAL,692,0,692
4995,ANTONIO EMILIO SOUZA PENNA PROFESSOR,R CAROLINA MARIA DO CARMO 30,VILA ALBERTINA,EE,-46.692475,-23.502996,FREGUESIA DO O,Norte,#REF!,ESTADUAL - SE,307,558,977
4997,OTONIEL ASSIS DE HOLANDA,TV ACACIA-MIMOSA SN,CHACARA COCAIA,EE,-46.692511,-23.765572,GRAJAU,Sul,#REF!,ESTADUAL - SE,764,0,985
5009,EDGARD PIMENTEL REZENDE PROFESSOR,R JERONIMO SOUTO MAIOR 120,VILA NINA,EE,-46.693063,-23.475768,BRASILANDIA,Norte,#REF!,ESTADUAL - SE,452,853,1305
5011,CARLOS AYRES PROF,AV DONA BELMIRA MARIN 595,PARQUE BRASIL,EE,-46.693181,-23.735674,GRAJAU,Sul,#REF!,ESTADUAL - SE,628,1093,2320
5017,BRASILIO MACHADO,RUA DOS MORAS 630,,EE,-46.693386,-23.555668,PINHEIROS,Oeste,#REF!,ESTADUAL - SE,275,0,275
5020,OLAVO PEZZOTTI PROF EMEF,RUA FRADIQUE COUTINHO 2200,,EMEF,-46.693512,-23.549813,PINHEIROS,Oeste,#REF!,MUNICIPAL,522,0,767
5025,MAURO DE OLIVEIRA PROFESSOR,RUA PEDRO SOARES DE ALMEIDA 134,,EE,-46.693719,-23.541569,PERDIZES,Oeste,#REF!,ESTADUAL - SE,0,391,391
5032,ANDRE RODRIGUES ALCKMIN PROFESSOR EMEF,RUA MARCELINO JOSE DE FREITAS 619,VILA TEREZINHA,EMEF,-46.6939913772,-23.4585326992,BRASILANDIA,Norte,#REF!,MUNICIPAL,1190,0,1758
5046,LAERTE RAMOS DE CARVALHO PROF DR,R ANIBAL DOS ANJOS CARVALHO 5,VILA SANTA MARIA,EE,-46.694716,-23.711668,CIDADE DUTRA,Sul,#REF!,ESTADUAL - SE,533,841,1497
5048,JARDIM MYRNA II,AV CARLOS ALBERT0 BASTOS MACHADO 340,,EE,-46.694742,-23.769774,GRAJAU,Sul,#REF!,ESTADUAL - SE,672,0,672
5049,HEITOR VILLA LOBOS MAESTRO,AV DO ARVOREIRO 107,PARQUE DAS ARVORES,EE,-46.694764,-23.732014,CIDADE DUTRA,Sul,#REF!,ESTADUAL - SE,303,649,952
5061,ERNESTINO LOPES DA SILVA PROF,RUA MIGUEL ROCUMBACK S/N,,EE,-46.695199,-23.848986,PARELHEIROS,Sul,#REF!,ESTADUAL - SE,549,0,549
5063,ROBERTO MANGE,AV CARLOS ALBERTO BASTOS MACHADO 50,,EE,-46.695298,-23.763519,GRAJAU,Sul,#REF!,ESTADUAL - SE,962,896,2042
5064,GENY MARIA MUNIZ ALMEIDA KLEIN PUSSINELLI PROFESSORA EMEF,R ANTONIO CALIXTO DA SILVA 331,VILA SANTA MARIA,EMEF,-46.695392,-23.714092,CIDADE DUTRA,Sul,#REF!,MUNICIPAL,674,0,1310
5065,AURELIO CAMPOS DEPUTADO,R OLIMPIO DE OLIVEIRA CHALEGRE 137,VILA DA PAZ,EE,-46.695429,-23.692026,CIDADE DUTRA,Sul,#REF!,ESTADUAL - SE,453,0,453
5072,ALFREDO BRESSER,R SUMIDOURO 66,PINHEIROS,EE,-46.695585,-23.564376,PINHEIROS,Oeste,#REF!,ESTADUAL - SE,282,0,282
5076,FRANCISCO ROSWELL FREIRE,R LOUIS DAQUIN 199,PARQUE BRASIL,EE,-46.695636,-23.738831,GRAJAU,Sul,#REF!,ESTADUAL - SE,802,0,802
5077,LEVI CARNEIRO,AV ANTONIO CARLOS BENJAMIN DOS SANTOS 2882,,EE,-46.695661,-23.763457,GRAJAU,Sul,#REF!,ESTADUAL - SE,514,567,1081
5080,GENESIO DE ALMEIDA MOURA DOUTOR,R DOMINGOS AREVALO 862,JARDIM DAMASCENO,EE,-46.6958066338,-23.4465146457,BRASILANDIA,Norte,#REF!,ESTADUAL - SE,977,505,1612
5085,LOURIVAL BRANDAO DOS SANTOS EMEF,RUA ALBA VALDEZ 5,,EMEF,-46.696027,-23.751045,GRAJAU,Sul,#REF!,MUNICIPAL,310,0,441
5097,TANCREDO DE ALMEIDA NEVES PRES,AV PAULO GUILGUER REIMBERG 2448,JARDIM NOVO HORIZONTE,EE,-46.696536,-23.775725,GRAJAU,Sul,#REF!,ESTADUAL - SE,783,446,1229
5103,ESTHER GARCIA PROFA EE,RUA ANTONIO CARLOS BENJAMIM DOS SANTOS 858,,EE,-46.696828,-23.747761,GRAJAU,Sul,#REF!,ESTADUAL - SE,496,515,1258
5104,LUCAS ROSCHEL RASQUINHO,R PAULINO GOTTSFRITZ 50,COLONIA (ZONA SUL),EE,-46.696863,-23.846963,PARELHEIROS,Sul,#REF!,ESTADUAL - SE,367,664,1238
5105,PASQUALE PECCICACCO,R NAZARIO PAGANO 225,JARDIM MONJOLO,EE,-46.696928,-23.49192,FREGUESIA DO O,Norte,#REF!,ESTADUAL - SE,631,0,643
5108,MILTOM CAMPOS SENADOR EMEF,RUA PERSIO DE SOUZA QUEIROZ FILHO 155,VILA ISABEL,EMEF,-46.6970662817,-23.4617746412,BRASILANDIA,Norte,#REF!,MUNICIPAL,612,0,1356
5114,EMILIO WARWICK KERR PASTOR,R WALTER SGARBI 700,JARDIM REIMBERG,EE,-46.697206,-23.752615,GRAJAU,Sul,#REF!,ESTADUAL - SE,877,289,1178
5116,GALDINO LOPES CHAGAS PROFESSOR,EST DO SABAO 1547,JARDIM MARISTELA,EE,-46.697331,-23.468317,FREGUESIA DO O,Norte,#REF!,ESTADUAL - SE,1021,0,1043
5122,JOAO SOLIMEO,EST DO SABAO 110,JARDIM MARISTELA,EE,-46.697504,-23.468989,FREGUESIA DO O,Norte,#REF!,ESTADUAL - SE,1049,1271,2504
