ID,LONG,LAT,SETCENS,AREAP,CODDIST,DISTRITO,CODSUBPREF,SUBPREF,REGIAO5,REGIAO8,NOME,REGISTRO,ENDERECO,NUMERO,BAIRRO,REFERENCIA
214,-46.516275,-23.552500,355030891000045,3550308005076,93,VILA MATILDE,21,PENHA,Leste,Leste 1,JARDIM MARINGA,6042-9,RUA MENDONCA DRUMONT,340.000000,JD MARINGA,TV RUA FERNANDO PORTO ALEGRE
864,-46.684159,-23.529756,355030860000092,3550308005055,61,PERDIZES,8,LAPA,Oeste,Oeste,VILA POMPEIA,6043-7,RUA MIN FERREIRA ALVES C/ TUCUNA,454.000000,VL POMPEIA,AV. POMPEIA
562,-46.608040,-23.624760,355030868000121,3550308005088,69,SACOMA,13,IPIRANGA,Sul,Sul 1,VILA DOS QUARENTA,6044-5,RUA ANGATURAMA,514.000000,VL DAS MERCES,TV RUA MARQUES DE LAGE
813,-46.679131,-23.601529,355030835000014,3550308005102,34,ITAIM BIBI,11,PINHEIROS,Oeste,Oeste,VILA UBERABINHA,6045-3,RUA BALUARTE,95.000000,VL OLIMPIA,AV CARDOSO MELO E ANDRADE PER.
622,-46.441148,-23.503711,355030874000023,3550308005196,76,SAO MIGUEL,23,SAO MIGUEL,Leste,Leste 2,BAQUIRIVU,6046-1,RUA HELIO VESSONI,19.000000,VL SINHA,TRAV.DA AV.PIRES DO RIO
118,-46.506972,-23.521163,355030859000067,3550308005145,60,PENHA,21,PENHA,Leste,Leste 1,VILA RE,6047-0,RUA MUNICIPAL,S/N,VL RE,SEVEN BOYS (FABRICA BISCOITO)
832,-46.634664,-23.584449,355030890000019,3550308005020,92,VILA MARIANA,12,VILA MARIANA,Sul,Sul 1,VERGUEIRO,6048-8,RUA CONCEICAO VELOSO,125.000000,VL MARIANA,RUA MANOEL PAIVA
284,-46.599857,-23.619077,355030868000077,3550308005085,69,SACOMA,13,IPIRANGA,Sul,Sul 1,VILA BANDEIRANTES,6049-6,RUA PROF RAUL PEDERNEIRAS,458.000000,VL CONDE DO PINHAL,TV VIA ANCHIETA
112,-46.707420,-23.482459,355030829000093,3550308005116,29,FREGUESIA DO O,3,FREGUESIA / BRASILANDIA,Norte,Norte 1,VILA MIRIAM,6050-0,RUA ANTONIO GOMES DE OLIVEIRA,680.000000,VL MIRIAN,PARALELA A AV FAUD
163,-46.535940,-23.583064,355030872000097,3550308005080,74,SAO LUCAS,29,VILA PRUDENTE / SAPOPEMBA,Leste,Leste 1,VILA GUARANI,6051-8,RUA JOAO RODRIGUES PIRES,286.000000,VL GUARANI,VILA GUARANI E VL PRUDENTE
